Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
Airline Ticketing Specialists | Tier 2 | Ortigas,Aces Call Center Jobs Inc.,Pasig,Philippines,"IDR 6,958,832.28 - IDR 11,134,131.64",Full Time,Associate,Supervisor,Customer Service,Call Center / BPO,Filipino,High School graduate and up,With at least 4 to 5 years Airline Ticketing experience (domestic or international),"Expert in using SABRE GDS System (including building, pricing, ticketing and completing complex exchanges, refunds)",Good to Excellent English communication skills,
Analis Kesehatan (ATLM),Rumah Sakit BSH,Bogor,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Hospital / Health Care,Man,Education min. D3 Health Analyst,Has Active STR,Experienced min. 1 year (preferably experience in hospital/laboratory),Able to work with teamwork and have good communication skills,
Android Developer,Siloam Hospitals Group,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Hospital / Health Care,At least have a minimum Bachelor degree with majoring in Computer Science or related degree. Developer Bootcamp graduates are welcome to apply.,At least have 2 years of proven experience in the same field.,Strong skills in Git Hub or Git Flow.,Experience in REST APIs or Other Web Services Protocols.,"Have experience in Kotlin, Java, Dart, and Android SDK.",
Android Developer,Dreamtech Technologies Sdn Bhd,Kuala Lumpur,Malaysia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Program Development,"College degree or above, major in computer related",At least 2 years of experience in Android research and development,Familiar with Java or Kotlin language; familiar with AndroidSDK; familiar with Kotlin is preferred.,Experience in Bluetooth data transmission development,"Chinese can be used as a working language (required). English can be used as a working language (optional, plus points)",
Anti Fraud Management Officer,FIFGROUP,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Management and Consultancy,Financial Services,Bachelor degree from any major,Preferably experienced in related fields,Proficiency in operating Windows operating system and Microsoft Suites,Proficiency in using SQL,Ability in data analytics and statistics,
Application Support L2 / L3,Dans Multi Pro,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Information Technology / IT,Candidate must posses at least Bachelor's Degree in Engineeringing (Computer/Telecomunication) or equivalent,At least 2 year of working experience in the related field,"Required skills: Java, Oracle SQL, Linux, Nginx, Redhat, Redis, Rabbitmq",Having analyst skill and understand of Systems Development Life Cycle (SDLC),Strong analytical and planning skills,
Applications Developer,PT. Adicipta Inovasi Teknologi (Adins),Malang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,"Bachelor’s degree in Computer Engineeringing / Computer Science / Information System with GPA > 3,00","Have experience with .NET, ASP .NET, C# .NET, Java, Kotlin, and SQL Server is preferred",In-depth knowledge of programming for diverse operating systems and platforms using development tools,Excellent understanding of software design and programming principles,Strong passion on IT industry,
Apprenticeship Training and Development,PT Green Energi Utama,Malang,Indonesia,"IDR 1,000,000.00 - IDR 1,500,000.00 / month",Full Time,Entry Level,"Junior, Apprentice",Education and Training,Oil and Energy,MALANG DOMICILE,S1 PSYCHOLOGY/EDUCATION,FRESH GRADUATE OR EXPERIENCE,WILLING TO LEARN AND DEVELOP,INNOVATIVE AND CREATIVE,
Architect (JAKARTA),PT. Archikon Wiratama,Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Engineering,Architecture and Planning,"Prepare detailed working drawings, specifications, materials and work methods.","Check construction drawings, work drawings, specifications and other requirements related to construction.",Conduct field visits to ensure field conditions match the drawing/design,Understand and master field techniques.,Can work as a team,
Area Manager Residential Medan,Dekoruma,Medan,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Sales and Marketing,E-Commerce,At least Bachelor Degree from reputable University.,"A minimum of 5 years experience in commercial/business operation unit, preferably in consumer segments.",Strong communication and bias for action.,"Outstanding track record of solid leadership and business achievement, preferably in business unit that has medium-to-large organization structure.",Excellent written and verbal communication skills.,
Area Operations Officer,Toyota Motor Philippines Corporations,Makati,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Engineering,Engineeringing Industries,You have a bachelor's degree in Marketing or any Business Related Course.,You have a high level of attention to detail.,"You are confident to interact, negotiate and manage different personalities.",You can multitask and perform under minimal supervision.,You can deal with ambiguity; objection handling.,
Area Sales Executive Banjarmasin,Kanmo Group,Banjarmasin,Indonesia,"IDR 8,000,000.00 - IDR 9,500,000.00 / month",Full Time (Remote),Associate,Supervisor,Sales and Marketing,Distribution,Bachelor Degree in any major from reputable University,"Having 4 years working experience in Sales, with the last position as Area Sales Supervisor.",Preferably having experience in Baby/Kids and Medical products.,Posses strong written and verbal communication in English,Willing to travel.,
Assessment Pscyhometric Intern,Rakamin Academy,Jakarta Selatan,Indonesia,"IDR 800,000.00 - IDR 1,000,000.00",Full Time (Remote),Internship,OJT,Education and Training,Education,Psychological student min. on 3rd year (6th semester),Highly interested in Psychometrics,"Familiar with statistics software like SPSS, Mplus, or LISREL",Familiar with Bloom's Taxonomy and technology would be advantegous,,
ASSISTANT - PLANNING ADMIN,Công ty bảo hiểm nhân thọ FWD,"Thành phố Hồ Chí Minh,",Vietnam,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Insurance,University graduated.,Open for fresh graduate with at least 6-month experience in Administration.,Proficient in Microsoft Office applications (Word/Excel/Power Point) is a must.,Experience in creating detailed reports.,Good communication skills in both Vietnamese and English (especially in writing).,
ASSISTANT - PRODUCT MANAGEMENT,Công ty bảo hiểm nhân thọ FWD,"Thành phố Hồ Chí Minh,",Vietnam,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Product Management and Project Management,Insurance,Bachelor's degree,Having at least 6-month of working experience in Admin role.,Meticulous personality and patience with tasks requiring detail and accuracy.,Proficient in Microsoft Word and Excel is a must.,"A good communicator, both verbally and in writing.",
Assistant Development Program (ADP) Wilayah 04 Bandung,Bank Negara Indonesia,Bandung,Indonesia,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",Sales and Marketing,Banking / Mortgage,Has no direct blood relationship with active BNI employees.,Not married and willing not to get married during the contract period,"Never been involved in drugs or other legal violations, as proven by a Police Record Certificate (SKCK)",Attractive appearance and good communication skills,Minimum GPA of 2.75 on a scale of 4,
Assistant Producer Intern,Mediashock Productions Pte Ltd,Singapore,Singapore,Salary Undisclosed,Full Time,Internship,OJT,Media,Media Production,Be involved in the entire production process,Assist the producer in client communications and servicing,Support the project by maintaining the budget spreadsheet,Assist to create callsheets and schedules,Do all it takes to bring the project from ideation to life,
Assistant Producer Intern for Mediashock,Mediashock Productions Pte Ltd,Singapore,Singapore,Salary Undisclosed,Full Time,Internship,OJT,Media,Media Production,Be involved in the entire production process,Assist the producer in client communications and servicing,Support the project by maintaining the budget spreadsheet,Assist to create callsheets and schedules,Do all it takes to bring the project from ideation to life,
Assitant Editor Buku Sekolah Bahasa Inggris,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Media Production,"S1 graduate, GPA Min. 3.00 from the Faculty of English Language / English Literature Department",Mastering EYD V,Experienced as a school book editor and understands the implementation of the Independent Curriculum,Have editing and copywriting skills,"Detail oriented, knowledgeable, has extensive knowledge, has good negotiation skills, able to establish social networking well",
Assitant Editor Buku Sekolah Matematika,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Media Production,"S1 graduate, GPA Min. 3.00 from the MIPA/MIPA Education department",Mastering EYD V,Experienced as a school book editor and understands the implementation of the Independent Curriculum,Have editing and copywriting skills,"Detail oriented, knowledgeable, has extensive knowledge, has good negotiation skills, able to establish social networking well",
Assitant Project Manager IT,Mengantar Karya Bangsa,Malang,Indonesia,Salary Undisclosed,Full Time (Remote),Associate,Supervisor,Sales and Marketing,Consumer Services,Minimum 3 years of experience,"Have experience software development on multiple platforms, especially Web and Mobile",Have technical experience/ support in Software Development from end to end,Have system/ business analysis skills,Experienced in working on Project Software Development from scratch,
Associate Assessor Freelance at CHR Kompas Gramedia,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Freelance,Associate,Supervisor,Human Resources,Media Production,Minimum education of Bachelor Degree (S1) in Psychology,Have passion in assessment center activities/works in both public and private organizations,Certified as an assessment center assessor (please attach your certificate of completion when applying),Must not be employed by another company or organization,,
